iter	Passed	Remaining
399	49299	73949
400	49467	73892
401	49567	73734
402	49706	73635
403	50008	73774
404	50088	73587
405	50234	73495
406	50476	73544
407	50527	73314
408	50710	73275
409	50959	73332
410	51024	73122
411	51179	73041
412	51535	73247
413	51617	73062
414	51835	73068
415	51967	72955
416	52032	72745
417	52182	72655
418	52287	72504
419	52399	72361
420	52467	72157
421	52651	72114
422	52756	71962
423	52831	71771
424	53002	71708
425	53184	71662
426	53336	71573
427	53402	71370
428	53586	71324
429	53722	71213
430	53823	71057
431	53963	70952
432	53999	70710
433	54123	70584
434	54207	70407
435	54258	70187
436	54359	70032
437	54421	69828
438	54464	69600
439	54533	69406
440	54619	69233
441	54698	69053
442	54882	69005
443	54943	68802
444	55014	68613
445	55128	68477
446	55254	68357
447	55306	68145
448	55454	68052
449	55508	67844
450	55630	67719
451	55727	67563
452	55806	67386
453	55948	67285
454	56089	67184
455	56190	67034
456	56319	66918
457	56441	66793
458	56530	66630
459	56567	66404
460	56751	66353
461	56788	66130
462	57026	66140
463	57251	66134
464	57286	65909
465	57403	65779
466	57524	65654
467	57745	65642
468	57797	65438
469	57886	65276
470	57966	65105
471	58003	64885
472	58128	64765
473	58235	64624
474	58318	64457
475	58438	64330
476	58681	64340
477	58901	64323
478	59152	64338
479	59223	64158
480	59501	64202
481	59567	64016
482	59773	63980
483	59876	63835
484	60230	63955
485	60395	63875
486	60692	63932
487	61252	64264
488	61432	64196
489	61530	64041
490	61654	63915
491	61735	63742
492	61864	63621
493	61966	63471
494	62152	63407
495	62326	63332
496	62522	63277
497	62629	63132
498	62929	63181
499	63248	63248
500	63481	63227
501	63625	63118
502	63821	63060
503	64060	63043
504	64284	63011
505	64467	62939
506	64551	62768
507	64604	62569
508	64734	62445
509	64942	62395
510	65047	62246
511	65164	62110
512	65382	62068
513	65644	62068
514	65863	62027
515	66024	61930
516	66203	61849
517	66375	61762
518	66461	61595
519	66603	61480
520	66724	61345
521	66904	61265
522	67051	61153
523	67304	61139
524	67486	61059
525	67642	60955
526	67745	60803
527	68118	60893
528	68310	60820
529	68413	60668
530	68486	60489
531	68564	60316
532	68709	60201
533	68913	60137
534	69092	60052
535	69160	59870
536	69382	59821
537	69522	59701
538	69599	59527
539	69730	59399
540	69835	59250
541	70007	59157
542	70194	59076
543	70321	58945
544	70380	58758
545	70431	58563
546	70594	58463
547	70666	58287
548	70780	58145
549	70877	57990
550	70942	57809
551	70995	57619
552	71140	57504
553	71220	57336
554	71291	57161
555	71596	57173
556	71693	57019
557	71830	56898
558	72003	56804
559	72115	56662
560	72262	56547
561	72383	56412
562	72446	56232
563	72581	56109
564	72656	55938
565	72732	55770
566	72866	55646
567	72966	55495
568	73028	55316
569	73204	55224
570	73300	55071
571	73353	54886
572	73521	54788
573	73616	54635
574	73665	54448
575	73852	54363
576	73931	54199
577	73989	54019
578	74066	53854
579	74161	53703
580	74199	53510
581	74324	53381
582	74449	53251
583	74711	53219
584	75569	53608
585	75639	53438
586	77026	54194
587	77353	54200
588	77436	54034
589	77572	53906
590	77672	53753
591	77835	53643
592	78006	53539
593	78099	53381
594	78289	53289
595	78454	53180
596	78488	52983
597	78610	52845
598	78674	52668
599	78744	52496
600	78877	52366
601	79057	52266
602	79122	52091
603	79190	51919
604	79292	51769
605	79412	51631
606	79471	51453
607	79642	51348
608	79670	51151
609	79691	50950
610	79714	50751
611	79751	50561
612	79780	50367
613	79836	50190
